,command,question,answer
0,w,What information does the ww utility print in the w command?,"The ww utility prints a summary of the current activity on the system, including what each user is doing.

"
1,w,What information is displayed on the first line in the w command?,"The first line displays the current time of day, how long the system has been running, the number of users logged into the system, and the load averages.

"
2,w,What do the load average numbers represent in the w command?,"The load average numbers give the number of jobs in the run queue averaged over 1, 5 and."
3,w,"How many jobs are in the run queue averaged over 1, 5 and in the w command?","The load average numbers give the number of jobs in the run queue averaged over 1, 5 and."
4,w,What is the purpose of the ww utility in the w command?,"The purpose of the ww utility is to print a summary of the current activity on the system, including what each user is doing."
5,w,What information does the ww utility print in the w command?,"The ww utility prints a summary of the current activity on the system, including what each user is doing.

"
6,w,What information is displayed on the first line in the w command?,"The first line displays the current time of day, how long the system has been running, the number of users logged into the system, and the load averages.

"
7,w,What do the load average numbers represent in the w command?,"The load average numbers give the number of jobs in the run queue averaged over 1, 5 and."
8,w,"How many jobs are in the run queue averaged over 1, 5 and in the w command?","The load average numbers give the number of jobs in the run queue averaged over 1, 5 and."
9,w,What is the purpose of the ww utility in the w command?,"The purpose of the ww utility is to print a summary of the current activity on the system, including what each user is doing.mkdir"
10,mkdir,What are the options for the mkdir utility in the mkdir command?,"?
Answer: The options are as follows: -m mode Set the file permission bits of the final created directory to the specified mode. The mode argument can be in any of the formats s.

"
11,mkdir,What is the format of the mode argument in the mkdir command?,"?
Answer: The format of the mode argument can be in any of the formats s.

"
12,mkdir,What does the umask(2) function do in the mkdir command?,"?
Answer: The umask(2) function modifies the mode ""rwxrwxrwx"" (0777) before creating the directories."
13,mkdir,What is the default permission bit for a directory created with the mkdir utility in the mkdir command?,"Answer: The default permission bit for a directory created with the mkdir utility is ""rwxrwxrwx"" (0777)."
14,mkdir,What does the chmod(1) command do in the mkdir command?,The chmod(1) command changes file permissions.
15,mkdir,What does the symbolic mode do in the mkdir command?,"The symbolic mode specifies the operation characters '+' and '-' relative to an initial mode of ""a=rwx"".

"
16,mkdir,What does the '-p' option do in the mkdir command?,"The '-p' option creates intermediate directories as required.

"
